Precip_Date,Days,Day_num,Date_bin,Precip_avg(mm)
2009-01-15,day_before,-1,0,0.2921240895403402
2009-01-16,day_of,0,1,0.2907901148278957
2009-01-17,1day_after,1,0,2.584236466787421
2009-01-18,2days_after,2,0,0.01365645440243848
2009-01-19,-,-,0,0.008944863951708949
2009-01-20,-,-,0,0.0011999357994813009
2009-01-21,day_before,-1,0,0.023891291298591886
2009-01-22,day_of,0,1,0.00442688061679133
2009-01-23,day_of,0,1,0.023085492872628722
2009-01-24,1day_after,1,0,8.996178733212371
2009-01-25,2days_after,2,0,1.925419665584118
2009-01-26,-,-,0,0.09687968138266238
2009-01-27,-,-,0,0.6975663276657964
2009-01-28,-,-,0,9.233209078590787e-05
2009-01-29,day_before,-1,0,0.005199986287203249
2009-01-30,day_of,0,1,4.705137967384769
2009-01-31,1day_after,1,0,7.200451762740144
2009-02-01,2days_after,2,0,0.02846024052391004
2009-02-16,day_before,-1,0,19.54532668852368
2009-02-17,day_of,0,1,0.00015350860440789473
2009-02-18,1day_after,1,0,0.02839652547531577
2009-02-19,2days_after,2,0,3.3769451725626016
2009-02-27,day_before,-1,0,0.001645857093346491
2009-02-28,day_of,0,1,0.0
2009-03-01,1day_after,1,0,2.583634169851754
2009-03-02,2days_after,2,0,0.5636632603991225
2009-03-27,day_before,-1,0,3.225391290163276
2009-03-28,day_of,0,1,0.8734109943020792
2009-03-29,1day_after,1,0,0.3321363472919893
2009-03-30,2days_after,2,0,0.5643995950690546
2009-03-31,-,-,0,0.19781448410230543
2009-04-01,-,-,0,1.35363313400813
2009-04-02,-,-,0,1.8593606491040782
2009-04-05,day_of,0,1,1.1689576991448405
2009-04-06,1day_after,1,0,2.7746953058151527
2009-04-07,2days_after,2,0,0.4567656837446362
2009-06-20,day_before,-1,0,0.02590979422542152
2009-06-21,day_of,0,1,4.825785332307692e-05
2009-06-22,day_of,0,1,0.09561930175644005
2009-06-23,-,-,0,0.4870085046888799
2009-06-24,day_of,0,1,0.0
2009-06-25,1day_after,1,0,0.0
2009-06-26,2days_after,2,0,0.0
2009-07-04,day_before,-1,0,0.19038898255000003
2009-07-05,day_of,0,1,0.27495081125000004
2009-07-06,1day_after,1,0,1.0898072223999997
2009-07-07,2days_after,2,0,31.440127387500006
2009-08-04,day_before,-1,0,0.16961553316589126
2009-08-05,day_of,0,1,0.05089282242594782
2009-08-06,1day_after,1,0,0.0026808931492456533
2009-08-07,2days_after,2,0,0.00023113881237608693
2009-09-10,day_before,-1,0,0.00043550070280748665
2009-09-11,day_of,0,1,0.007448049788391712
2009-09-12,1day_after,1,0,0.004634584033628348
2009-09-13,2days_after,2,0,0.02350232136825734
2009-09-19,day_before,-1,0,0.10877060534477576
2009-09-20,day_of,0,1,0.01467437111491031
2009-09-21,1day_after,1,0,0.8373794124338306
2009-09-22,-,-,0,0.1685405243949019
2009-09-23,day_of,0,1,0.013924202586347885
2009-09-24,1day_after,1,0,0.006049319755370911
2009-09-25,2days_after,2,0,0.3892107981699394
2009-09-29,day_before,-1,0,0.0013564214583333333
2009-09-30,day_of,0,1,0.0033543211276515147
2009-10-01,1day_after,1,0,0.07965495304822348
2009-10-02,2days_after,2,0,0.008887401612386367
2009-10-12,day_before,-1,0,0.006836994038666664
2009-10-13,day_of,0,1,0.003964513910899997
2009-10-14,1day_after,1,0,0.00715664861158334
2009-10-15,2days_after,2,0,0.004561495797499999
2009-10-24,day_before,-1,0,0.00042909910643707086
2009-10-25,day_of,0,1,0.002053709228826085
2009-10-26,1day_after,1,0,0.002279838391544623
2009-10-27,2days_after,2,0,1.2635602426647594
2009-10-28,day_before,-1,0,0.4163963880484191
2009-10-29,day_of,0,1,0.37216362570307243
2009-10-30,day_of,0,1,0.26727521880506966
2009-10-31,1day_after,1,0,0.2656646075581583
2009-11-01,2days_after,2,0,2.513557862943477
2009-11-03,day_before,-1,0,0.2426573837966553
2009-11-04,day_of,0,1,1.1265035981441065
2009-11-05,day_of,0,1,0.05739302685527103
2009-11-06,1day_after,1,0,0.7945575905615332
2009-11-07,2days_after,2,0,0.1300223092353275
2009-12-24,day_before,-1,0,18.302375054804724
2009-12-25,day_of,0,1,0.13105157339154513
2009-12-26,1day_after,1,0,3.437243202039481
2009-12-27,2days_after,2,0,0.4873410979733149
2009-12-28,-,-,0,5.373201367534119
2009-12-29,-,-,0,2.730331687014975
2009-12-30,-,-,0,2.3743466268959166
2009-12-31,-,-,0,2.25580724979355
2010-01-01,-,-,0,7.090520007129898
2010-01-02,day_before,-1,0,0.07384744798023216
2010-01-03,day_of,0,1,0.8906096331013633
2010-01-04,1day_after,1,0,3.739441325289757
2010-01-05,2days_after,2,0,3.7469130680063523
2010-01-06,-,-,0,0.42204932388828276
2010-01-07,day_before,-1,0,0.00045083659119505486
2010-01-08,day_of,0,1,0.6868020918045441
2010-01-09,1day_after,1,0,0.11508702625632891
2010-01-10,2days_after,2,0,0.13877587962651525
2010-01-11,day_before,-1,0,17.740032072447466
2010-01-12,day_of,0,1,7.017865234131465
2010-01-13,1day_after,1,0,0.26032879941469844
2010-01-14,2days_after,2,0,0.016062716336095142
2010-01-23,day_before,-1,0,0.15019584453812204
2010-01-24,day_of,0,1,0.18506230636092597
2010-01-25,day_of,0,1,0.23513810669620294
2010-01-26,1day_after,1,0,0.657965601356248
2010-01-27,2days_after,2,0,0.15507231230961208
2010-02-08,day_before,-1,0,1.2907213794858692
2010-02-09,day_of,0,1,0.666404728696378
2010-02-10,1day_after,1,0,0.07737419473137215
2010-02-11,2days_after,2,0,0.34985022475261673
2010-03-22,day_before,-1,0,0.45422434475422796
2010-03-23,day_of,0,1,0.6756743734592151
2010-03-24,1day_after,1,0,0.0017291900639215681
